"","group","item","class","name","parnum","value","lbound","ubound","est","prior.type","prior_1","prior_2"
"170","all","X43","dich","d",170,4.332665598459,-Inf,Inf,TRUE,"none",NA,NA
"1711","all","X43","dich","g",171,0,0,1,FALSE,"none",NA,NA
"1721","all","X43","dich","u",172,1,0,1,FALSE,"none",NA,NA
"173","all","X44","dich","a1",173,0.851,-Inf,Inf,TRUE,"none",NA,NA
"1731","all","X44","dich","a2",173,0.0430727458461604,-Inf,Inf,TRUE,"none",NA,NA
"1732","all","X44","dich","a3",173,-1.38748246420632,-Inf,Inf,TRUE,"none",NA,NA
"174","all","X44","dich","d",174,3.48138197235354,-Inf,Inf,TRUE,"none",NA,NA
"175","all","X44","dich","g",175,0,0,1,FALSE,"none",NA,NA
"176","all","X44","dich","u",176,1,0,1,FALSE,"none",NA,NA
"177","all","X45","dich","a1",177,0.851,-Inf,Inf,TRUE,"none",NA,NA
"1771","all","X45","dich","a2",177,0.26729893531822,-Inf,Inf,TRUE,"none",NA,NA
"1772","all","X45","dich","a3",177,-0.468515227312236,-Inf,Inf,TRUE,"none",NA,NA
"178","all","X45","dich","d",178,3.33471512793248,-Inf,Inf,TRUE,"none",NA,NA
"179","all","X45","dich","g",179,0,0,1,FALSE,"none",NA,NA
"180","all","X45","dich","u",180,1,0,1,FALSE,"none",NA,NA
"181","all","X46","dich","a1",181,0.851,-Inf,Inf,TRUE,"none",NA,NA
"1811","all","X46","dich","a2",181,0.249268520657499,-Inf,Inf,TRUE,"none",NA,NA
"1812","all","X46","dich","a3",181,0.213324620852606,-Inf,Inf,TRUE,"none",NA,NA
"182","all","X46","dich","d",182,4.1044814801558,-Inf,Inf,TRUE,"none",NA,NA
"183","all","X46","dich","g",183,0,0,1,FALSE,"none",NA,NA
"184","all","X46","dich","u",184,1,0,1,FALSE,"none",NA,NA
"185","all","X47","dich","a1",185,0.851,-Inf,Inf,TRUE,"none",NA,NA
"1851","all","X47","dich","a2",185,-0.730604772945274,-Inf,Inf,TRUE,"none",NA,NA
"1852","all","X47","dich","a3",185,0.373643176325285,-Inf,Inf,TRUE,"none",NA,NA
"186","all","X47","dich","d",186,3.43911455713665,-Inf,Inf,TRUE,"none",NA,NA
"187","all","X47","dich","g",187,0,0,1,FALSE,"none",NA,NA
"188","all","X47","dich","u",188,1,0,1,FALSE,"none",NA,NA
"189","all","X48","dich","a1",189,0.851,-Inf,Inf,TRUE,"none",NA,NA
"1891","all","X48","dich","a2",189,0.338515522785912,-Inf,Inf,TRUE,"none",NA,NA
"1892","all","X48","dich","a3",189,0.525981859024187,-Inf,Inf,TRUE,"none",NA,NA
"190","all","X48","dich","d",190,3.38392367967797,-Inf,Inf,TRUE,"none",NA,NA
"191","all","X48","dich","g",191,0,0,1,FALSE,"none",NA,NA
"192","all","X48","dich","u",192,1,0,1,FALSE,"none",NA,NA
"193","all","X49","dich","a1",193,0.851,-Inf,Inf,TRUE,"none",NA,NA
"1931","all","X49","dich","a2",193,-0.0691842754792959,-Inf,Inf,TRUE,"none",NA,NA
"1932","all","X49","dich","a3",193,-0.766394128982492,-Inf,Inf,TRUE,"none",NA,NA
"194","all","X49","dich","d",194,5.71426579404546,-Inf,Inf,TRUE,"none",NA,NA
"195","all","X49","dich","g",195,0,0,1,FALSE,"none",NA,NA
"196","all","X49","dich","u",196,1,0,1,FALSE,"none",NA,NA
